aufgabe,schwierigkeit,instruction,input,output
Tatbestand klassifizieren,fortgeschritten,"Ordne den beschriebenen Sachverhalt dem passenden Tatbestand aus dem StGB zu. Gib Paragraph, Namen des Tatbestands und eine kurze Begründung an. Weise auf mögliche Konkurrenztatbestände hin.",Am 11.02.2026 gegen 04:25 Uhr wurde ein Vorfall in der Bahnhofstraße gemeldet. Durch Manipulation eines IT-Systems wurden unrechtmäßige Transaktionen ausgelöst. Die Angaben der Beteiligten sind teilweise widersprüchlich.,"§ 263a StGB (Computerbetrug). Der Sachverhalt erfüllt die Merkmale dieses Tatbestands, da die beschriebenen Handlungen tatbestandsmäßig sind. Ein Konkurrenzverhältnis zwischen Betrug und Computerbetrug ist zu prüfen."
Tatbestand klassifizieren,fortgeschritten,"Ordne den beschriebenen Sachverhalt dem passenden Tatbestand aus dem StGB zu. Gib Paragraph, Namen des Tatbestands und eine kurze Begründung an. Weise auf mögliche Konkurrenztatbestände hin.","Am 16.03.2026 gegen 01:58 Uhr wurde ein Vorfall in der Schillerstraße gemeldet. Im Rahmen der Ermittlungen wurde festgestellt, dass ein Smartphone verwendet wurde, insbesondere im Zusammenhang mit der Anwendung Telegram. Es wurde fremdes Eigentum entwendet.","§ 242 StGB (Diebstahl). Der Sachverhalt erfüllt die Merkmale dieses Tatbestands, da die beschriebenen Handlungen tatbestandsmäßig sind. Abzugrenzen ist § 249 StGB (Raub) bei Gewaltanwendung."
Tatbestand klassifizieren,fortgeschritten,"Ordne den beschriebenen Sachverhalt dem passenden Tatbestand aus dem StGB zu. Gib Paragraph, Namen des Tatbestands und eine kurze Begründung an. Weise auf mögliche Konkurrenztatbestände hin.",Am 12.01.2026 gegen 17:27 Uhr wurde ein Vorfall in der Bahnhofstraße gemeldet. Durch Manipulation eines IT-Systems wurden unrechtmäßige Transaktionen ausgelöst.,"§ 263a StGB (Computerbetrug). Der Sachverhalt erfüllt die Merkmale dieses Tatbestands, da die beschriebenen Handlungen tatbestandsmäßig sind. Ein Konkurrenzverhältnis zwischen Betrug und Computerbetrug ist zu prüfen."
Tatbestand klassifizieren,fortgeschritten,"Ordne den beschriebenen Sachverhalt dem passenden Tatbestand aus dem StGB zu. Gib Paragraph, Namen des Tatbestands und eine kurze Begründung an. Weise auf mögliche Konkurrenztatbestände hin.","Am 16.03.2026 gegen 01:36 Uhr wurde ein Vorfall in der Schillerstraße gemeldet. Im Rahmen der Ermittlungen wurde festgestellt, dass ein Tablet verwendet wurde, insbesondere im Zusammenhang mit der Anwendung Telegram. Eine Person wurde körperlich verletzt. Die Angaben der Beteiligten sind teilweise widersprüchlich.","§ 223 StGB (Körperverletzung). Der Sachverhalt erfüllt die Merkmale dieses Tatbestands, da die beschriebenen Handlungen tatbestandsmäßig sind. Weitere Konkurrenztatbestände sind im Einzelfall zu prüfen."
Tatbestand klassifizieren,fortgeschritten,"Ordne den beschriebenen Sachverhalt dem passenden Tatbestand aus dem StGB zu. Gib Paragraph, Namen des Tatbestands und eine kurze Begründung an. Weise auf mögliche Konkurrenztatbestände hin.","Am 07.02.2026 gegen 13:09 Uhr wurde ein Vorfall in der Schillerstraße gemeldet. Im Rahmen der Ermittlungen wurde festgestellt, dass ein Tablet verwendet wurde, insbesondere im Zusammenhang mit der Anwendung Telegram. Durch Manipulation eines IT-Systems wurden unrechtmäßige Transaktionen ausgelöst.","§ 263a StGB (Computerbetrug). Der Sachverhalt erfüllt die Merkmale dieses Tatbestands, da die beschriebenen Handlungen tatbestandsmäßig sind. Ein Konkurrenzverhältnis zwischen Betrug und Computerbetrug ist zu prüfen."
Tatbestand klassifizieren,fortgeschritten,"Ordne den beschriebenen Sachverhalt dem passenden Tatbestand aus dem StGB zu. Gib Paragraph, Namen des Tatbestands und eine kurze Begründung an. Weise auf mögliche Konkurrenztatbestände hin.","Am 14.01.2026 gegen 18:36 Uhr wurde ein Vorfall in der Industriestraße gemeldet. Im Rahmen der Ermittlungen wurde festgestellt, dass ein Tablet verwendet wurde, insbesondere im Zusammenhang mit der Anwendung WhatsApp. Daten wurden unbefugt gelöscht oder verändert.","§ 303a StGB (Datenveränderung). Der Sachverhalt erfüllt die Merkmale dieses Tatbestands, da die beschriebenen Handlungen tatbestandsmäßig sind. Weitere Konkurrenztatbestände sind im Einzelfall zu prüfen."
Tatbestand klassifizieren,fortgeschritten,"Ordne den beschriebenen Sachverhalt dem passenden Tatbestand aus dem StGB zu. Gib Paragraph, Namen des Tatbestands und eine kurze Begründung an. Weise auf mögliche Konkurrenztatbestände hin.",Am 21.03.2026 gegen 06:31 Uhr wurde ein Vorfall in der Schillerstraße gemeldet. Eine Person wurde körperlich verletzt.,"§ 223 StGB (Körperverletzung). Der Sachverhalt erfüllt die Merkmale dieses Tatbestands, da die beschriebenen Handlungen tatbestandsmäßig sind. Weitere Konkurrenztatbestände sind im Einzelfall zu prüfen."
Tatbestand klassifizieren,fortgeschritten,"Ordne den beschriebenen Sachverhalt dem passenden Tatbestand aus dem StGB zu. Gib Paragraph, Namen des Tatbestands und eine kurze Begründung an. Weise auf mögliche Konkurrenztatbestände hin.",Am 29.04.2026 gegen 14:23 Uhr wurde ein Vorfall in der Hauptstraße gemeldet. Es wurde fremdes Eigentum entwendet.,"§ 242 StGB (Diebstahl). Der Sachverhalt erfüllt die Merkmale dieses Tatbestands, da die beschriebenen Handlungen tatbestandsmäßig sind. Abzugrenzen ist § 249 StGB (Raub) bei Gewaltanwendung."
Tatbestand klassifizieren,fortgeschritten,"Ordne den beschriebenen Sachverhalt dem passenden Tatbestand aus dem StGB zu. Gib Paragraph, Namen des Tatbestands und eine kurze Begründung an. Weise auf mögliche Konkurrenztatbestände hin.",Am 01.02.2026 gegen 02:36 Uhr wurde ein Vorfall in der Hauptstraße gemeldet. Es wurden gefälschte Dokumente verwendet.,"§ 267 StGB (Urkundenfälschung). Der Sachverhalt erfüllt die Merkmale dieses Tatbestands, da die beschriebenen Handlungen tatbestandsmäßig sind. In Betracht kommt auch § 263 StGB (Betrug)."
Tatbestand klassifizieren,fortgeschritten,"Ordne den beschriebenen Sachverhalt dem passenden Tatbestand aus dem StGB zu. Gib Paragraph, Namen des Tatbestands und eine kurze Begründung an. Weise auf mögliche Konkurrenztatbestände hin.","Am 06.02.2026 gegen 19:04 Uhr wurde ein Vorfall in der Bahnhofstraße gemeldet. Im Rahmen der Ermittlungen wurde festgestellt, dass ein Laptop verwendet wurde, insbesondere im Zusammenhang mit der Anwendung E-Mail. Eine Person wurde körperlich verletzt. Die Angaben der Beteiligten sind teilweise widersprüchlich.","§ 223 StGB (Körperverletzung). Der Sachverhalt erfüllt die Merkmale dieses Tatbestands, da die beschriebenen Handlungen tatbestandsmäßig sind. Weitere Konkurrenztatbestände sind im Einzelfall zu prüfen."
